radio,mcc,mnc,lac,cid,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry,City,Region,location,d_nearest_road
GSM,624,2,65303,7011,0,11.502914,3.823013,1000,3,1,1379480515,1380109761,0,POINT (11.502914 3.823013),Yaounde,Centre,urban,0.00207617
GSM,624,2,65303,7012,0,11.50474548,3.825302124,1000,2,1,1379233825,1381939552,0,POINT (11.504745483398 3.8253021240234),Yaounde,Centre,urban,0.005793515
GSM,624,2,65303,9231,0,11.517105,3.82515,1000,9,1,1376853447,1382813683,0,POINT (11.517105 3.82515),Yaounde,Centre,urban,0.005189463
GSM,624,2,65303,9232,0,11.515732,3.823242,1000,2,1,1382966201,1382966201,0,POINT (11.515732 3.823242),Yaounde,Centre,urban,0.002653302
GSM,624,2,65303,9501,0,11.506119,3.834229,1000,2,1,1378017247,1378046501,0,POINT (11.506119 3.834229),Yaounde,Centre,urban,0.00390385
GSM,624,2,65303,9502,0,11.50474548,3.829421997,1000,1,1,1379395126,1379395126,0,POINT (11.504745483398 3.8294219970703),Yaounde,Centre,urban,0.000599858
GSM,624,2,65303,9773,0,11.52809143,3.800582886,1000,1,1,1378040096,1378040096,0,POINT (11.528091430664 3.8005828857422),Yaounde,Centre,urban,0.000300041
GSM,624,2,65303,9801,0,11.508865,3.819122,1000,2,1,1376381801,1376764155,0,POINT (11.508865 3.819122),Yaounde,Centre,urban,0.048582062
GSM,624,2,65303,9893,0,11.50886536,3.843154907,1000,1,1,1376927877,1376927877,0,POINT (11.508865356445 3.8431549072266),Yaounde,Centre,urban,0.000263564
GSM,624,2,65303,9993,0,11.52259827,3.79234314,1000,1,1,1379521990,1379521990,0,POINT (11.522598266602 3.7923431396484),Yaounde,Centre,urban,0.005485803
GSM,624,2,65303,10301,0,11.52534485,3.817062378,1000,2,1,1381305936,1381372581,0,POINT (11.525344848633 3.8170623779297),Yaounde,Centre,urban,0.004699233
GSM,624,2,65303,36052,0,11.51847839,3.836288452,1000,1,1,1381885448,1381885448,0,POINT (11.518478393555 3.8362884521484),Yaounde,Centre,urban,0.004900976
GSM,624,2,65303,36053,0,11.526031,3.864441,1000,2,1,1380592641,1380592641,0,POINT (11.526031 3.864441),Yaounde,Centre,urban,0.008655522
GSM,624,2,65303,36063,0,11.51435852,3.848648071,1000,1,1,1377770491,1377770491,0,POINT (11.514358520508 3.8486480712891),Yaounde,Centre,urban,0.004284788
GSM,624,2,65303,36751,0,11.5019989,3.808822632,1000,1,1,1379149927,1379149927,0,POINT (11.501998901367 3.8088226318359),Yaounde,Centre,urban,0.002957554
GSM,624,2,65303,36901,0,11.517105,3.82513,1000,8,1,1377300425,1381939958,0,POINT (11.517105 3.82513),Yaounde,Centre,urban,0.005281681
GSM,624,2,65303,36902,0,11.51573181,3.823928833,1000,2,1,1375130302,1379772922,0,POINT (11.515731811523 3.8239288330078),Yaounde,Centre,urban,0.00109699
GSM,624,2,65303,37011,0,11.52946472,3.801956177,1000,1,1,1379097781,1379097781,0,POINT (11.52946472168 3.8019561767578),Yaounde,Centre,urban,0.007797559
GSM,624,2,65302,4805,0,11.497421,3.866043,1048,6,1,1346422020,1379675811,0,POINT (11.497421 3.866043),Yaounde,Centre,urban,0.004460996
GSM,624,2,65302,4806,0,11.496277,3.867188,1081,6,1,1351970955,1383099137,0,POINT (11.496277 3.867188),Yaounde,Centre,urban,0.00243434
GSM,624,2,65302,9052,0,11.50749207,3.895339966,1000,1,1,1377965469,1377965469,0,POINT (11.50749206543 3.8953399658203),Yaounde,Centre,urban,0.001745227
GSM,624,2,65302,9125,0,11.494446,3.893967,1000,2,1,1341745190,1354447996,0,POINT (11.494446 3.893967),Yaounde,Centre,urban,0.000506428
GSM,624,2,65302,9126,0,11.49238586,3.891220093,1000,1,1,1345297960,1345297960,0,POINT (11.492385864258 3.8912200927734),Yaounde,Centre,urban,0.000455945
GSM,624,2,65302,9421,0,11.5019989,3.862380981,1000,1,1,1359121419,1359121419,0,POINT (11.501998901367 3.8623809814453),Yaounde,Centre,urban,0.00117345
GSM,624,2,65302,9423,0,11.50062561,3.863754272,1000,1,1,1349099435,1349099435,0,POINT (11.500625610352 3.8637542724609),Yaounde,Centre,urban,0.000669651
GSM,624,2,65302,9531,0,11.499939,3.882294,1000,2,1,1346483224,1347265848,0,POINT (11.499939 3.882294),Yaounde,Centre,urban,0.002440839
GSM,624,2,65302,9532,0,11.49238586,3.880233765,1000,1,1,1340108160,1340108160,0,POINT (11.492385864258 3.8802337646484),Yaounde,Centre,urban,0.001127558
GSM,624,2,65302,9533,0,11.48551941,3.869247437,1000,1,1,1345300224,1345300224,0,POINT (11.48551940918 3.8692474365234),Yaounde,Centre,urban,0.001588077
GSM,624,2,65302,10282,0,11.48551941,3.877487183,1000,1,1,1378899225,1378899225,0,POINT (11.48551940918 3.8774871826172),Yaounde,Centre,urban,0.003638578
GSM,624,2,65302,10283,0,11.48551941,3.878860474,1000,2,1,1360526795,1380541422,0,POINT (11.48551940918 3.8788604736328),Yaounde,Centre,urban,0.001988202
GSM,624,2,65302,10311,0,11.498062,3.864487,2746,15,1,1345448705,1408635883,0,POINT (11.498062 3.864487),Yaounde,Centre,urban,0.00100856
GSM,624,2,65302,10312,0,11.494064,3.862305,1581,18,1,1358849418,1409035702,0,POINT (11.494064 3.862305),Yaounde,Centre,urban,0.000833045
GSM,624,2,65302,10382,0,11.493436,3.883223,1000,17,1,1355656477,1382929964,0,POINT (11.493436 3.883223000000001),Yaounde,Centre,urban,0.00039092
GSM,624,2,65302,10422,0,11.48826599,3.874740601,1000,1,1,1382603444,1382603444,0,POINT (11.488265991211 3.8747406005859),Yaounde,Centre,urban,0.002398078
GSM,624,2,65302,10423,0,11.48826599,3.876113892,1000,1,1,1380845594,1380845594,0,POINT (11.488265991211 3.8761138916016),Yaounde,Centre,urban,0.001195056
GSM,624,2,65302,10442,0,11.48826599,3.863754272,1000,4,1,1378664299,1382688926,0,POINT (11.488265991211 3.8637542724609),Yaounde,Centre,urban,0.000370471
GSM,624,2,65302,36022,0,11.495933,3.865585,1963,12,1,1357303968,1380464814,0,POINT (11.495933 3.865585),Yaounde,Centre,urban,0.000935808
GSM,624,2,65302,36023,0,11.498795,3.865128,1604,3,1,1341254623,1359541253,0,POINT (11.498795 3.865128),Yaounde,Centre,urban,0.000723238
GSM,624,2,65302,36311,0,11.494446,3.866501,1000,2,1,1344524599,1352711517,0,POINT (11.494446 3.866501),Yaounde,Centre,urban,0.001237623
GSM,624,2,65302,36371,0,11.492386,3.886414,1000,2,1,1353946931,1356278402,0,POINT (11.492386 3.886414),Yaounde,Centre,urban,0.002462043
GSM,624,2,65302,36372,0,11.49238586,3.881607056,1000,1,1,1340933757,1340933757,0,POINT (11.492385864258 3.8816070556641),Yaounde,Centre,urban,0.001789848
GSM,624,2,65302,36373,0,11.496162,3.890877,1000,4,1,1349644324,1357697796,0,POINT (11.496162 3.890877),Yaounde,Centre,urban,0.00253774
GSM,624,2,65302,36552,0,11.494102,3.878517,1000,4,1,1346506046,1359792893,0,POINT (11.494102 3.878517),Yaounde,Centre,urban,0.002049196
GSM,624,2,65302,36912,0,11.475906,3.854141,1000,2,1,1358234614,1358520185,0,POINT (11.475906 3.854141),Yaounde,Centre,urban,0.002545011
GSM,624,2,65302,37521,0,11.486206,3.87886,1000,2,1,1375456968,1380541422,0,POINT (11.486206 3.87886),Yaounde,Centre,urban,0.000220251
GSM,624,2,65302,37551,0,11.497314,3.862946,2677,17,1,1345448399,1381786263,0,POINT (11.497314 3.862946),Yaounde,Centre,urban,0.002468049
GSM,624,2,65302,37552,0,11.494064,3.861465,1273,9,1,1351520739,1408974689,0,POINT (11.494064 3.861465),Yaounde,Centre,urban,0.001605037
GSM,624,2,65302,37621,0,11.491699,3.877487,1000,2,1,1358418424,1359113600,0,POINT (11.491699 3.877487),Yaounde,Centre,urban,0.002375803
GSM,624,2,65302,37622,0,11.493135,3.882606,1000,11,1,1352836648,1383032777,0,POINT (11.493135 3.882606),Yaounde,Centre,urban,0.000971799
GSM,624,2,65302,37623,0,11.491699,3.881607,1000,2,1,1353870646,1359113602,0,POINT (11.491699 3.881607),Yaounde,Centre,urban,0.000903263
GSM,624,2,65302,37663,0,11.48826599,3.876113892,1000,2,1,1380651119,1382930144,0,POINT (11.488265991211 3.8761138916016),Yaounde,Centre,urban,0.0018339
GSM,624,2,65302,37682,0,11.48826599,3.863754272,1000,1,1,1378167059,1378167059,0,POINT (11.488265991211 3.8637542724609),Yaounde,Centre,urban,0.001144263
GSM,624,2,65301,37,0,11.57341003,3.848648071,1000,1,1,1346918313,1346918313,0,POINT (11.57341003418 3.8486480712891),Yaounde,Centre,urban,0.0034505
GSM,624,2,65301,45,0,11.540108,3.840408,1731,12,1,1337451816,1359894999,0,POINT (11.540108 3.840408),Yaounde,Centre,urban,0.003572321
GSM,624,2,65301,46,0,11.541191,3.843789,1942,13,1,1337450661,1378737621,0,POINT (11.541191 3.843789),Yaounde,Centre,urban,0.001398735
