,cell,mcc,net,area,lon,lat,zone,road,dist_road,traffic,priority
0,36081,624,2,65298,11.540858,3.8739269999999997,1,POINT (11.54047188205621 3.874024661742283),0.044191325158962166,0.04375129703769476,0.0
1,36081,624,2,18,11.541651,3.874223,1,POINT (11.5411409255675 3.874321967847834),0.05764819124553525,0.32219283286229095,0.0
2,91,624,2,18,11.541484,3.8746379999999996,1,POINT (11.5411409255675 3.874321967847834),0.051802873631527364,0.08802721996190654,0.0
3,93,624,2,18,11.539764,3.875396,1,POINT (11.53993024347312 3.873942267634078),0.16269639828261268,0.03693188004951364,0.0
4,36444,624,2,18,11.543142,3.877451,1,POINT (11.54398842571362 3.875295525901436),0.2574163935146661,0.5843457882228905,0.0
5,37161,624,2,18,11.536518,3.8770559999999996,1,POINT (11.53828353477567 3.873758787773596),0.41567398005986456,0.16526522162892177,0.0
6,91,624,2,65298,11.539749,3.873215,1,POINT (11.53993024347312 3.873942267634078),0.08333074917955803,0.0881531631818735,0.0
7,36082,624,2,18,11.538728,3.87103,1,POINT (11.53717058567227 3.87283493440583),0.26482764955278937,0.8041911146807003,0.0
8,36083,624,2,18,11.540099,3.8753089999999997,1,POINT (11.54047188205621 3.874024661742283),0.1486826648855688,0.3357588068004457,0.0
9,92,624,2,18,11.539116,3.8725989999999997,1,POINT (11.53892785167261 3.873962551839753),0.15305010769878474,0.23251898893594336,0.0
10,36131,624,2,18,11.533207,3.8691800000000005,1,POINT (11.53343703454169 3.868988562858533),0.03323280153699248,0.645234773594998,0.0
11,36133,624,2,18,11.530092,3.868783,1,POINT (11.53091324349614 3.867750723397876),0.14654826238594343,0.2126859587877633,0.0
12,9213,624,2,18,11.530167,3.867997,1,POINT (11.53066119966772 3.867536146676628),0.07504692357917966,0.33241096683173277,0.0
13,37162,624,2,18,11.530323,3.8702589999999994,1,POINT (11.53128288542612 3.868006455263696),0.27216971529751044,0.8917468371865191,0.0
14,9932,624,2,18,11.53017,3.870539,1,POINT (11.53128288542612 3.868006455263696),0.3074827676654403,0.5746644836172374,0.0
15,36492,624,2,18,11.533603,3.8677089999999996,1,POINT (11.53309329269257 3.868735429382696),0.1273740884561844,0.9949104285671133,0.0
16,35062,624,2,17,11.529447,3.869301,1,POINT (11.53076563818126 3.86763211946797),0.23630045292279694,0.2704050113220814,0.0
17,36401,624,2,21,11.539946,3.8561959999999997,1,POINT (11.54394978514 3.864020944123723),0.9769181228378548,0.6979345469835975,0.0
18,36132,624,2,18,11.532547000000001,3.8652330000000004,1,POINT (11.53227454839057 3.865123164391036),0.03260049462738611,0.009549801317010886,0.0
19,9212,624,2,18,11.531049000000001,3.8667050000000005,1,POINT (11.53066119966772 3.867536146676628),0.10194275720893443,0.1823840262515588,0.0
20,37071,624,2,18,11.552743,3.8524480000000003,1,POINT (11.5548907671714 3.850671841310543),0.3094902570862829,0.3019693822110271,0.0
21,36502,624,2,18,11.552324,3.8504110000000003,1,POINT (11.55436379691889 3.849613877491976),0.24304212736815847,0.9949631823273265,0.0
22,4246,624,2,21,11.540135000000001,3.8582660000000004,1,POINT (11.54385138159674 3.86407894689367),0.7666744213747124,0.21151555191539195,0.0
23,36403,624,2,21,11.529575999999999,3.861943,1,POINT (11.52824251768797 3.863932431226203),0.26612412295443866,0.3307895942815695,0.0
24,9741,624,2,21,11.555436,3.852639,1,POINT (11.55556743821461 3.851117339464224),0.16982814023274198,0.9962624048756713,0.0
